quality	clickbait	title	url	data
3	4	szczury na patelni	http://warszawa.wyborcza.pl/warszawa/7,54420,23016107,szczury-hasaja-po-patelni-migawka-z-zycia-szczurzej-kolonii.html?disableRedirects=true	{'tags': ['patelni', 'Centrum', 'metra', 'szczury', 'plac', 'Hyde Parku', 'warszawskiego'], 'title': 'Szczury hasają po Patelni. Migawka z życia szczurzej kolonii w centrum miasta', 'author': 'Wojciech Tymowski, Zuzanna Bukłaha', 'timestamp': '13 lutego 2018'}
			http://warszawa.naszemiasto.pl/artykul/szczury-w-samym-sercu-miasta-atakuja-ludzi-przy-wejsciu-do,4408268,artgal,t,id,tm.html	{'tags': ['gryzoniach', 'Metro Centrum', 'stacji', 'Patelni', 'atakować', 'przechodniów', 'wideo', 'śniegu', 'szczury', 'piżmaków', 'pladze'], 'title': 'Szczury w samym sercu miasta. Atakują ludzi przy wejściu do metra [WIDEO]', 'author': 'Red.', 'timestamp': '2018-02-13', 'source': 'Naszemiasto.pl'}
			https://tvnwarszawa.tvn24.pl/informacje,news,na-patelni-panosza-sie-szczury,252872.html	{'tags': ['szczury', 'patelni', 'centrum', 'Warszawy', 'metra', 'szkodliwe', 'gryzonie', 'reporter', 'skwerze'], 'title': 'Na patelni panoszą się szczury', 'timestamp': '16.02.2018', 'source': 'kz/b'}
5	5	pożar racławiecka	https://tvnwarszawa.tvn24.pl/informacje,news,plomienie-na-10-metrow-i-slup-szarego-dymu-splonal-warsztat,252843.html	{'tags': ['pożar', 'wybuchł', 'Mokotowie', 'Palił', 'samochodowy', 'warsztat', 'gaśniczej', 'Racławicką', 'Puławskiej', 'opony', 'dach', 'Wojciech Kopczyński', 'straży pożarnej'], 'title': 'Płomienie na 10 metrów i słup szarego dymu. Spłonął warsztat', 'timestamp': '16.02.2018', 'source': 'kz,ran,PAP/mś'}
			http://naszemiasto.pl/artykul/pozar-na-mokotowie-plonie-budynek-przy-ul-raclawickiej,4411718,artgal,t,id,tm.html	{'tags': ['zastępów', 'straży pożarnej', 'Mokotowie', 'ul. Racławickiej', 'Płonie', 'strażaków', 'wozów', 'gaszenie', 'Wojciech Kapczyński'], 'title': 'Pożar na Mokotowie. Płonie budynek przy ul. Racławickiej', 'author': 'STUL', 'timestamp': '2018-02-16', 'source': 'Naszemiasto.pl'}
			http://metrowarszawa.gazeta.pl/metrowarszawa/7,141637,23031769,ogromny-pozar-na-mokotowie-pali-sie-warsztat-duze-utrudnienia.html	{'tags': ['warszawskim', 'Mokotowie', 'wybuchł', 'pożar', 'Zapalił', 'warsztat samochodowy', 'gaśnicza', 'Racławickiej', 'Mokotowie.', 'Ogień', 'zastępów', 'samochodowego', 'warsztatu'], 'title': 'Ogromny pożar na Mokotowie. Palił się warsztat samochodowy. Były duże utrudnienia w ruchu', 'author': 'ej', 'timestamp': '16.02.2018'}
5	5	pożar niepodleglosci	http://www.polsatnews.pl/wiadomosc/2018-01-20/pozar-mieszkania-na-warszawskim-mokotowie-jedna-osoba-zginela/	{'tags': ['Mokotowie', 'Tomasz Stankowski', 'Komendy Miejskiej', 'Warszawie', 'al. Niepodległości', 'wybuchł', 'straży pożarnej.', 'strażaków'], 'title': 'Pożar mieszkania na warszawskim Mokotowie. Jedna osoba zginęła', 'author': 'dk/', 'timestamp': '2018-01-20,', 'source': 'PAP'}
			https://www.tvp.info/35682772/warszawa-pozar-w-bloku-na-mokotowie-nie-zyje-jedna-osoba	{'tags': ['Pożar', 'zginęła', 'pożarze', 'wybuchł', 'al. Niepodległości', 'Tomasz Stankowski', 'Komendy Miejskiej PSP', 'Warszawie', 'Ewakuowanych', 'straży pożarnej'], 'title': 'Warszawa: pożar w bloku na Mokotowie. Nie żyje jedna osoba', 'author': 'rt', 'source': 'PAP', 'timestamp':'20.01.2018'}
5	5	stoch złoto	https://www.tvn24.pl/wiadomosci-z-kraju,3/zloto-olimpijskie-kamila-stocha-politycy-gratuluja,815949.html	{'tags': ['Politycy', 'Twitterze', 'złotego medalu', 'skokach narciarskich', 'igrzyskach olimpijskich', 'Pjongczangu', 'prezydent', 'rządu', 'opozycji', 'Andrzej Duda'], 'title': '"Wzruszenie ściska gardło". Politycy gratulują Stochowi', 'author': 'tmw,pk//rzw', 'source': 'PAP, TVN24', 'timestamp': '17 lutego 2018'}
			http://wyborcza.pl/7,154903,23037009,pjongczang-2018-kamil-stoch-to-zloto-jest-dla-was-wszystkich.html	{'tags': ['Soczi', 'Pjongczangu', 'skoki', 'medal', 'złote medale', 'Kamil Stoch'], 'title': 'Pjongczang 2018. Kamil Stoch: To złoto jest dla was wszystkich', 'author': 'Dariusz Wołowski', 'timestamp': '17 lutego 2018'}
